# DFZ 五变元线性秩不等式参考族: 24 条 (arXiv 0910.0284 式(1)-(24)) + 4 个 Ingleton 形式 (式(36)-(39))
# 生成方式: 机器解析 psitip 源码内嵌 dfz_linear_ineq (作者 Cheuk Ting Li 对 DFZ 的独立转录),
#   Ingleton 四形式按论文 PDF 原文转录; 全程无人工抄写系数.
# 校验(2026-08-12, 本容器): 逐变元平衡 28/28; 2,400 个真实子空间秩向量 (F2/F3/F_p) 零违反;
#   S5 类互异 28/28; 与 PDF 抽取件可核对的 17 条逐项一致 (source=psitip+pdf);
#   其余 11 条为单源 (dfz10,11,13,14,15,16,19,20,21,22,23), 请对照论文式(10)-(23)人工抽查.
# 双向锥裁决 (s12): 28 类中唯一不被 (M_LR+Shannon) 蕴含的是 ing39; 我们 27 类全部被参考锥蕴含.
#   判决: PSITIP-INCOMPLETE, 缺失类 = Ingleton(39) (四槽位全含 A 的重叠形式; psitip 的
#   ingleton_bound 只做互斥子集代入, 结构上生不出它).
ineq_id,subset,coeff
# dfz18  [DFZ(18)]  source=psitip+pdf  original: I(A&B&D)+I(A&C&D) <= I(B&C)+I(B&D|E)+I(C&D|E)+I(A&E)
dfz18,A,-1
dfz18,AB,1
dfz18,AC,1
dfz18,BC,-1
dfz18,D,-2
dfz18,AD,2
dfz18,BD,1
dfz18,ABD,-1
dfz18,CD,1
dfz18,ACD,-1
dfz18,E,-1
dfz18,AE,-1
dfz18,BE,1
dfz18,CE,1
dfz18,DE,2
dfz18,BDE,-1
dfz18,CDE,-1
# dfz19  [DFZ(19)]  source=psitip  original: I(A&B&E)+I(A&C&D) <= I(B&D)+I(A&C|D)+I(D&E)+I(B&E|C+D)+I(C&D|B+E)
dfz19,A,-2
dfz19,AB,1
dfz19,C,-1
dfz19,AC,1
dfz19,AD,2
dfz19,BD,-1
dfz19,CD,1
dfz19,ACD,-2
dfz19,BCD,1
dfz19,AE,1
dfz19,ABE,-1
dfz19,BCE,1
dfz19,DE,-1
dfz19,BDE,1
dfz19,CDE,1
dfz19,BCDE,-2
# dfz20  [DFZ(20)]  source=psitip  original: I(A&B&E)+I(A&C&D) <= I(B&C)+I(B&D)+I(A&E|B)+I(C&D|E)+I(B&E|C+D)
dfz20,A,-2
dfz20,AB,2
dfz20,AC,1
dfz20,BC,-1
dfz20,AD,1
dfz20,BD,-1
dfz20,ACD,-1
dfz20,BCD,1
dfz20,E,-2
dfz20,AE,1
dfz20,BE,2
dfz20,ABE,-2
dfz20,CE,1
dfz20,DE,1
dfz20,BCDE,-1
# dfz21  [DFZ(21)]  source=psitip  original: I(A&B&C+E)+I(A&C&D) <= I(B&D)+I(A&D|E)+I(C&E)+I(B&C|D+E)+I(B&E|C+D)
dfz21,A,-2
dfz21,AB,1
dfz21,AC,1
dfz21,AD,1
dfz21,BD,-1
dfz21,ACD,-1
dfz21,BCD,1
dfz21,AE,1
dfz21,CE,-2
dfz21,ACE,1
dfz21,BCE,1
dfz21,ABCE,-1
dfz21,ADE,-1
dfz21,BDE,1
dfz21,CDE,2
dfz21,BCDE,-2
# dfz22  [DFZ(22)]  source=psitip  original: I(A&B&D)+I(A&B&C)+I(A&C&E) <= I(C&D)+I(A&D|E)+2*I(B&E)+I(B&C|D+E)+I(C&E|B+D)
dfz22,A,-3
dfz22,AB,2
dfz22,C,-1
dfz22,AC,2
dfz22,BC,1
dfz22,ABC,-1
dfz22,AD,1
dfz22,ABD,-1
dfz22,CD,-1
dfz22,BCD,1
dfz22,AE,2
dfz22,BE,-2
dfz22,CE,1
dfz22,ACE,-1
dfz22,ADE,-1
dfz22,BDE,2
dfz22,CDE,1
dfz22,BCDE,-2
# dfz23  [DFZ(23)]  source=psitip  original: I(A&B&D)+I(A&B+C) <= 2*I(A&C|E)+I(B&E)+I(D&E)+I(A&B|C+D)+2*I(B&D|C+E)+I(C&E|B+D)
dfz23,A,-2
dfz23,AB,1
dfz23,BC,-1
dfz23,ABC,1
dfz23,AD,1
dfz23,ABD,-1
dfz23,CD,-1
dfz23,ACD,1
dfz23,BCD,2
dfz23,ABCD,-1
dfz23,AE,2
dfz23,BE,-1
dfz23,ACE,-2
dfz23,BCE,2
dfz23,DE,-1
dfz23,BDE,1
dfz23,CDE,2
dfz23,BCDE,-3
# dfz24  [DFZ(24)]  source=psitip+pdf  original: I(A&C+D)+I(B&C|D) <= I(B&C|E)+I(C&E|D)+I(A&E)+I(A&C|B+D)+I(A+B&D|C)+I(A&D|B+E)+I(A&B|D+E)
dfz24,C,-1
dfz24,ABC,1
dfz24,BD,-2
dfz24,ABD,1
dfz24,ACD,1
dfz24,BCD,2
dfz24,ABCD,-2
dfz24,AE,-1
dfz24,ABE,1
dfz24,CE,1
dfz24,BCE,-1
dfz24,ADE,1
dfz24,BDE,2
dfz24,ABDE,-2
dfz24,CDE,-1
# ing36  [Ingleton(36)]  source=psitip+pdf  original: I(A;B) <= I(A;B|C)+I(A;B|D)+I(C;D)
ing36,A,-1
ing36,B,-1
ing36,AB,1
ing36,AC,1
ing36,BC,1
ing36,ABC,-1
ing36,AD,1
ing36,BD,1
ing36,ABD,-1
ing36,CD,-1
# ing37  [Ingleton(37)]  source=psitip+pdf  original: I(A;B) <= I(A;B|C)+I(A;B|D,E)+I(C;D,E)
ing37,A,-1
ing37,B,-1
ing37,AB,1
ing37,AC,1
ing37,BC,1
ing37,ABC,-1
ing37,ADE,1
ing37,BDE,1
ing37,ABDE,-1
ing37,CDE,-1
# ing38  [Ingleton(38)]  source=psitip+pdf  original: I(A;B,C) <= I(A;B,C|D)+I(A;B,C|E)+I(D;E)
ing38,A,-1
ing38,BC,-1
ing38,ABC,1
ing38,AD,1
ing38,BCD,1
ing38,ABCD,-1
ing38,AE,1
ing38,BCE,1
ing38,ABCE,-1
ing38,DE,-1
# ing39  [Ingleton(39)]  source=psitip+pdf  original: I(A,B;A,C) <= I(A,B;A,C|A,D)+I(A,B;A,C|A,E)+I(A,D;A,E)
ing39,AB,-1
ing39,AC,-1
ing39,ABC,1
ing39,ABD,1
ing39,ACD,1
ing39,ABCD,-1
ing39,ABE,1
ing39,ACE,1
ing39,ABCE,-1
ing39,ADE,-1
